      +-----+------------------------------------------------+--------------+
      |Error|             Meaning                            | Routine Name |
      |Code |                                                |              |
      +-----+------------------------------------------------+--------------+
      |  -1 |Invalid top directory name                      |   DBINIT     |
      |     |                                                |              |
      |  -2 |The file is already open with correct LUNRZ and |   DBINIT     |
      |     |TOPNM                                           |              |
      |     |                                                |              |
      |  -3 |The file is already open with wrong LUNRZ or    |   DBINIT     |
      |     |TOPNM                                           |              |
      |     |                                                |              |
      |  -4 |Already a file is opened with the same unique   |   DBINIT     |
      |     |identifier as requested through IQUEST(1) for   |              |
      |     |this top name                                   |              |
      |     |                                                |              |
      |  -5 |Invalid process name in Online context          |   DBINIT     |
      |     |                                                |              |
      |  -6 |Error in IC_BOOK for booking the CACHE          |   DBINIT     |
      |     |                                                |              |
      |  -7 |Error in CC_SETUP for reserving the CLUSCOM     |   DBINIT     |
      |     |                                                |              |
      |  -8 |Error in opening journal file on Apollo in the  |   DBINIT     |
      |     |server mode                                     |              |
      +-----+------------------------------------------------+--------------+
      |   1 |Illegal character option                        |DBABRD/DBUSE  |
      |     |                                                |              |
      |   2 |Illegal path name                               |DBABRD/DBGET/ |
      |     |                                                |DBGETS/DBUSE  |
      |     |                                                |              |
      |   3 |Data base structure in memory clobbered         |   DBUSE      |
      |     |                                                |              |
      |   4 |Illegal key option                              |DBABRD/DBUSE  |
      |     |                                                |              |
      |   5 |Error in DBCHLD in P3 communication             |DBGET/DBUSE   |
      +-----+------------------------------------------------+--------------+
      |  11 |Pathname not found in the RZ directory          |   DBNODE     |
      |     |                                                |              |
      |  12 |Illegal pathname                                |   DBNODE     |
      |     |                                                |              |
      |  13 |Not enough structural link to support a new Node|   DBNODE     |
      |     |                                                |              |
      |  14 |No space available to create bank NODB          |   DBNODE     |
      |     |                                                |              |
      |  15 |Cannot define IO descriptor for Key bank        |   DBNODE     |
      |     |                                                |              |
      |  16 |Cannot find appropriate top directory           |   DBNODE     |
      +-----+------------------------------------------------+--------------+
      |  21 |Too many keys with option M                     |   DBKEYS     |
      |     |                                                |              |
      |  22 |Illegal key option                              |   DBKEYS     |
      |     |                                                |              |
      |  23 |Key bank cannot be created; no space in memory  | DBKEYS/DBKYSE|
      |     |                                                |              |
      |  24 |No Key bank created satisfying key options for  |   DBKEYS     |
      |     |option S                                        |              |
      |     |                                                |              |
      |  25 |Illegal Path Name                               |   DBKEYS     |
      +-----+------------------------------------------------+--------------+
      |  30 |Disk access problem                             |D0 convention |
      |     |                                                |              |
      |  31 |Illegal path name or path name in node bank     |DBIN/DBKIN/   |
      |     |is wrong                                        |DBKVIN/DBSRTM/|
      |     |                                                |DBVIN/DBCHCK/ |
      |     |                                                |DBKXIN        |
      |     |                                                |              |
      |  32 |No keys/data in this directory                  |DBGET/DBGETS/ |
      |     |                                                |DBIN/DBKIN/   |
      |     |                                                |DBKVIN/DBSRTM/|
      |     |                                                |DBVIN/DBCHCK  |
      |     |                                                |              |
      |  33 |No valid data for the given range of insertion  |DBSRTM/DBKXIN |
      |     |time or for the given set of keys and program   |              |
      |     |version number                                  |              |
      |     |                                                |              |
      |  34 |RZIN fails to read the data                     |   DBRZIN     |
      |     |                                                |              |
      |  35 |Wrong reference to data objects in update mode  |   DBKXIN     |
      |     |                                                |              |
      |  36 |Data bank address zero on return from DBKXIN    |DBKVIN/DBUSE/ |
      |     |                                                |DBVIN/DBCHCK  |
      |     |                                                |              |
      |  37 |Insufficient space in USER store array          |DBKVIN/DBUSE/ |
      |     |                                                |DBVIN/DBCHCK  |
      +-----+------------------------------------------------+--------------+
      |  41 |CHFOR for DB system keys declared wrongly by    |DBMDIP/DBMDIR |
      |     |user                                            |              |
