 MOD DL       VSW     VHV    T0SW    T0HV 
   0  0  -0.24058 0.23678   379.2   372.1
   0  1  -0.24142 0.23759   377.2   372.2
   0  2  -0.22865 0.22522   397.5   393.2
   0  3  -0.24103 0.23721   380.2   371.6
   0  4  -0.23896 0.23522   381.8   374.8
   0  5  -0.23233 0.22878   390.1   386.4
   0  6  -0.23127 0.22776   394.4   388.6
   0  7  -0.24035 0.23656   379.1   372.0
   1  0  -0.23614 0.23248   386.1   378.3
   1  1  -0.24199 0.23815   377.0   370.4
   1  2  -0.23373 0.23014   389.4   385.6
   1  3  -0.23155 0.22803   392.8   388.9
   1  4  -0.23349 0.22991   388.4   383.9
   1  5  -0.23812 0.23439   382.0   377.6
   1  6  -0.23585 0.23220   385.9   381.1
   1  7  -0.23727 0.23357   383.2   378.7
   2  0  -0.23850 0.23477   382.5   375.6
   2  1  -0.23389 0.23030   388.3   384.2
   2  2  -0.23580 0.23215   385.8   380.6
   2  3  -0.23088 0.22738   394.5   385.1
   2  4  -0.23714 0.23345   384.4   378.3
   2  5  -0.23958 0.23582   380.0   373.1
   2  6  -0.23376 0.23017   388.9   384.4
   2  7  -0.23887 0.23513   380.8   373.2
   3  0  -0.23454 0.23093   388.3   381.3
   3  1  -0.23230 0.22876   391.9   385.7
   3  2  -0.23349 0.22991   388.8   385.9
   3  3  -0.23288 0.22932   392.1   385.3
   3  4  -0.22270 0.21944   408.3   403.1
   3  5  -0.23672 0.23305   383.7   380.4
   3  6  -0.21962 0.21645   414.0   409.3
   3  7  -0.23904 0.23529   380.6   374.8
   4  0  -0.24108 0.23726   378.0   371.4
   4  1  -0.23310 0.22953   389.4   383.5
   4  2  -0.23696 0.23327   383.5   378.8
   4  3  -0.23240 0.22885   394.7   381.1
   4  4  -0.23675 0.23307   383.8   378.5
   4  5  -0.24009 0.23630   379.3   374.1
   4  6  -0.24040 0.23661   379.3   373.2
   4  7  -0.23724 0.23355   384.1   376.7
   5  0  -0.22907 0.22563   398.1   391.6
   5  1  -0.23487 0.23125   386.1   382.8
   5  2  -0.23612 0.23246   387.0   378.4
   5  3  -0.23864 0.23490   381.6   375.9
   5  4  -0.23328 0.22971   390.2   382.8
