 MOD DL       VSW     VHV    T0SW    T0HV
   0  0  -0.23737 0.23488   389.4   388.4
   0  1  -0.24113 0.23858   380.6   381.3
   0  2  -0.22832 0.22603   401.7   405.1
   0  3  -0.24157 0.23902   382.9   379.5
   0  4  -0.23757 0.23509   388.1   388.1
   0  5  -0.23193 0.22958   394.0   397.5
   0  6  -0.23032 0.22798   398.4   396.8
   0  7  -0.23843 0.23592   384.8   382.2
   1  0  -0.23396 0.23153   391.7   389.7
   1  1  -0.24240 0.23984   378.3   376.4
   1  2  -0.23273 0.23035   393.9   396.5
   1  3  -0.23225 0.22990   394.8   397.9
   1  4  -0.23206 0.22970   393.1   393.2
   1  5  -0.23804 0.23556   383.2   385.2
   1  6  -0.23490 0.23247   390.3   389.6
   1  7  -0.23532 0.23288   389.2   390.4
   2  0  -0.23613 0.23367   390.7   390.0
   2  1  -0.23495 0.23255   391.9   393.0
   2  2  -0.23477 0.23235   391.9   392.1
   2  3  -0.23060 0.22828   398.3   393.0
   2  4  -0.23613 0.23368   390.4   390.3
   2  5  -0.23987 0.23736   384.1   383.1
   2  6  -0.23295 0.23057   394.3   394.9
   2  7  -0.23825 0.23577   386.6   384.6
   3  0  -0.23224 0.22985   394.4   393.4
   3  1  -0.23263 0.23027   393.2   391.7
   3  2  -0.23318 0.23080   392.0   392.6
   3  3  -0.23276 0.23040   393.8   393.6
   3  4  -0.22225 0.22009   411.2   414.4
   3  5  -0.23652 0.23407   385.4   388.7
   3  6  -0.21945 0.21735   418.1   416.9
   3  7  -0.23772 0.23523   385.7   385.6
   4  0  -0.23840 0.23589   386.7   387.9
   4  1  -0.23318 0.23081   394.8   394.1
   4  2  -0.23596 0.23351   389.8   391.1
   4  3  -0.23245 0.23009   399.5   390.3
   4  4  -0.23590 0.23345   389.8   390.3
   4  5  -0.24047 0.23795   384.5   384.7
   4  6  -0.23927 0.23675   385.9   384.5
   4  7  -0.23629 0.23384   390.2   389.0
   5  0  -0.22736 0.22508   403.9   403.2
   5  1  -0.23511 0.23269   388.2   390.8
   5  2  -0.23495 0.23252   392.6   388.4
   5  3  -0.23907 0.23658   384.3   383.7
   5  4  -0.23218 0.22981   392.9   393.2
   5  5  -0.23734 0.23488   388.8   385.3
   5  6  -0.23127 0.22891   396.1   396.7
   5  7  -0.23767 0.23518   385.6   387.0
   6  0  -0.23465 0.23222   393.2   396.0
   6  1  -0.23728 0.23483   389.5   387.1
   6  2  -0.23155 0.22920   393.6   393.5
   6  3  -0.23396 0.23157   394.8   392.8
   6  4  -0.23561 0.23317   390.6   390.9
   6  5  -0.23386 0.23146   393.0   395.7
   6  6  -0.23202 0.22966   394.0   401.5
   6  7  -0.23781 0.23532   384.7   387.2
   7  0  -0.23334 0.23093   393.4   390.8
   7  1  -0.24234 0.23978   377.5   378.7
   7  2  -0.23632 0.23386   385.0   387.8
   7  3  -0.23171 0.22936   391.3   389.8
   7  4  -0.23633 0.23388   388.0   388.8
   7  5  -0.23825 0.23577   386.2   385.9
