 Module   5                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|   5|   0|   0|  0.0000|  2.3850|   1398.7380
 317|   5|   0|   7|269.1600|  2.3780|   1412.7950
 326|   5|   1|   0|270.6644|  2.3600|   1404.6250
 346|   5|   1|   7|274.2857|  2.3630|   1433.8610
 336|   5|   2|   0|275.8621|  2.3840|   1426.1390
 364|   5|   2|   7|266.6182|  2.3870|   1391.7610
 160|   5|   3|   0|265.0000|  2.3680|   1397.3400
 330|   5|   3|   7|275.2628|  2.3820|   1427.2800
 Module   6                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 322|   6|   0|   0|280.0392|  2.3820|   1421.2980
 320|   6|   0|   7|272.4564|  2.4300|   1424.1429
 352|   6|   1|   0|282.2743|  2.3800|   1408.0000
 353|   6|   1|   7|281.1166|  2.3860|   1433.0010
 355|   6|   2|   0|273.2673|  2.3750|   1435.0090
 332|   6|   2|   7|273.5727|  2.3400|   1380.6710
 375|   6|   3|   0|267.5585|  2.3400|   1394.5480
 376|   6|   3|   7|  0.0000|  2.4170|   1436.1570
 Module   7                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 376|   7|   0|   0|  0.0000|  2.4000|   1433.8610
 374|   7|   0|   7|264.0264|  2.3850|   1396.2220
 232|   7|   1|   0|268.0000|  2.3280|   1413.9260
 999|   7|   1|   7|  0.0000|  2.3990|   1415.3409
  85|   7|   2|   0|267.0000|  2.3420|   1406.0300
 319|   7|   2|   7|265.7217|  2.3960|   1384.2660
 174|   7|   3|   0|263.0000|  2.3640|   1375.7090
 359|   7|   3|   7|276.5420|  2.3810|   1438.4570
 Module   8                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|   8|   0|   0|  0.0000|  2.3690|   1388.7030
 999|   8|   0|   7|  0.0000|  2.3370|   1411.1010
 999|   8|   1|   0|  0.0000|  2.3720|   1392.5970
 999|   8|   1|   7|  0.0000|  2.3890|   1409.6910
 999|   8|   2|   0|  0.0000|  2.3820|   1413.9260
 999|   8|   2|   7|  0.0000|  2.4310|   1419.3090
 999|   8|   3|   0|  0.0000|  2.3760|   1383.1591
 999|   8|   3|   7|  0.0000|  2.3580|   1433.0010
 Module   9                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|   9|   0|   0|  0.0000|  2.3600|   1409.1270
 999|   9|   0|   7|  0.0000|  2.3400|   1406.0300
 151|   9|   1|   0|263.0000|  2.3830|   1388.4250
 999|   9|   1|   7|  0.0000|  2.3690|   1404.9060
 357|   9|   2|   0|276.8784|  2.3790|   1429.5649
 362|   9|   2|   7|268.7320|  2.3980|   1409.4091
 350|   9|   3|   0|275.8621|  2.3920|   1419.0260
 345|   9|   3|   7|279.8958|  2.3830|   1448.2729
 Module  10                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 257|  10|   0|   0|  0.0000|  2.3040|   1408.0000
  94|  10|   0|   7|269.0000|  2.3550|   1411.1010
 999|  10|   1|   0|  0.0000|  2.3630|   1382.3290
 155|  10|   1|   7|268.0000|  2.3540|   1397.3400
 109|  10|   2|   0|263.0000|  2.3880|   1405.1870
 360|  10|   2|   7|269.9764|  2.3780|   1408.5630
 245|  10|   3|   0|  0.0000|  2.2830|   1379.0150
 999|  10|   3|   7|  0.0000|  2.3370|   1422.4351
 Module  11                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 278|  11|   0|   0|  0.0000|  2.3170|   1388.7030
 345|  11|   0|   7|279.8958|  2.3610|   1404.0630
 307|  11|   1|   0|290.0917|  2.1540|   1385.3740
 354|  11|   1|   7|269.3069|  2.3070|   1417.3230
 334|  11|   2|   0|270.4595|  2.3470|   1412.5129
 273|  11|   2|   7|  0.0000|  2.2950|   1440.7610
 999|  11|   3|   0|  0.0000|  2.3780|   1379.8430
 268|  11|   3|   7|  0.0000|  2.3150|   1420.4449
 Module  12                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 369|  12|   0|   0|268.8859|  2.3960|   1405.1870
 999|  12|   0|   7|  0.0000|  2.3590|   1435.5830
 999|  12|   1|   0|  0.0000|  2.3300|   1400.4170
 231|  12|   1|   7|267.3000|  2.3460|   1413.0780
 325|  12|   2|   0|316.3711|  2.3640|   1408.0000
 314|  12|   2|   7|278.8732|  2.3410|   1385.6510
 248|  12|   3|   0|  0.0000|  2.3160|   1426.7090
 999|  12|   3|   7|  0.0000|  2.3450|   1402.0990
 Module  13                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 134|  13|   0|   0|265.0000|  2.3780|   1402.6600
 203|  13|   0|   7|274.0000|  2.3180|   1451.1740
 999|  13|   1|   0|  0.0000|  2.3030|   1412.2300
 116|  13|   1|   7|264.0000|  2.3830|   1372.9600
 122|  13|   2|   0|268.0000|  2.3400|   1374.6090
 246|  13|   2|   7|  0.0000|  2.3110|   1414.2090
 250|  13|   3|   0|  0.0000|  2.3070|   1392.0400
 999|  13|   3|   7|  0.0000|  2.3790|   1392.8750
 Module  14                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  14|   0|   0|  0.0000|  2.3550|   1390.3700
 177|  14|   0|   7|270.0000|  2.3230|   1421.8660
 999|  14|   1|   0|  0.0000|  2.3870|   1372.6851
 252|  14|   1|   7|  0.0000|  2.3020|   1394.8270
 999|  14|   2|   0|  0.0000|  2.3730|   1387.0370
 204|  14|   2|   7|269.0000|  2.2270|   1373.5090
 999|  14|   3|   0|  0.0000|  2.3280|   1412.5129
 999|  14|   3|   7|  0.0000|  2.3680|   1419.0260
 Module  15                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 192|  15|   0|   0|267.0000|  2.3270|   1399.0170
 323|  15|   0|   7|274.5229|  2.3630|   1403.7820
 342|  15|   1|   0|267.2454|  2.3680|   1395.6639
 999|  15|   1|   7|  0.0000|  2.2770|   1258.9189
 999|  15|   2|   0|  0.0000|  2.2840|   1438.1689
 186|  15|   2|   7|271.0000|  2.3490|   1413.0780
 999|  15|   3|   0|  0.0000|  2.3800|   1404.6250
 140|  15|   3|   7|263.0000|  2.4050|   1418.1740
 Module  16                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 363|  16|   0|   0|269.7368|  2.3930|   1433.2870
 145|  16|   0|   7|263.0000|  2.4010|   1394.5480
 377|  16|   1|   0|268.0272|  2.4000|   1406.5930
 267|  16|   1|   7|  0.0000|  2.2690|   1427.2800
 111|  16|   2|   0|269.0000|  2.3230|   1423.2889
 372|  16|   2|   7|271.4754|  2.4110|   1415.6240
 343|  16|   3|   0|267.9934|  2.3710|   1396.5020
 209|  16|   3|   7|271.0000|  2.3000|   1397.0601
 Module  17                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 368|  17|   0|   0|263.5914|  2.3630|   1376.5350
 159|  17|   0|   7|273.0000|  2.3850|   1411.3831
 202|  17|   1|   0|271.0000|  2.3250|   1447.4050
 999|  17|   1|   7|  0.0000|  2.3850|   1435.0090
 999|  17|   2|   0|  0.0000|  2.3220|   1425.5680
 208|  17|   2|   7|274.0000|  2.3020|   1439.0330
 999|  17|   3|   0|  0.0000|  2.3430|   1362.2900
  98|  17|   3|   7|271.0000|  2.3100|   1385.9280
 Module  18                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  18|   0|   0|  0.0000|  2.3640|   1377.9120
 227|  18|   0|   7|269.0000|  2.3320|   1403.7820
 138|  18|   1|   0|265.0000|  2.3390|   1380.3950
 999|  18|   1|   7|  0.0000|  2.3470|   1442.7800
 324|  18|   2|   0|270.0699|  2.3770|   1432.7140
 382|  18|   2|   7|266.4226|  2.4160|   1430.9960
 371|  18|   3|   0|271.8951|  2.3910|   1398.7380
 333|  18|   3|   7|267.0728|  2.3760|   1380.1190
 Module  19                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 312|  19|   0|   0|308.1655|  2.3480|   1400.6980
 379|  19|   0|   7|272.0000|  2.4120|   1390.9270
 251|  19|   1|   0|  0.0000|  2.2820|   1397.0601
 999|  19|   1|   7|  0.0000|  2.3680|   1400.9771
 366|  19|   2|   0|271.5232|  2.3950|   1407.7180
 126|  19|   2|   7|267.0000|  2.3570|   1393.4320
 107|  19|   3|   0|263.0000|  2.3870|   1383.1591
 351|  19|   3|   7|267.5585|  2.3850|   1426.1390
 Module  20                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  20|   0|   0|  0.0000|  2.3680|   1414.2090
  99|  20|   0|   7|274.0000|  2.3380|   1393.9900
 378|  20|   1|   0|269.7067|  2.4120|   1389.5360
  96|  20|   1|   7|266.0000|  2.3550|   1407.1550
 321|  20|   2|   0|269.0385|  2.3740|   1392.8750
 338|  20|   2|   7|279.4950|  2.3570|   1383.1591
 999|  20|   3|   0|  0.0000|  2.3800|   1397.8990
 999|  20|   3|   7|  0.0000|  2.3460|   1424.1429
 Module  21                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 340|  21|   0|   0|282.4342|  2.3900|   1423.2889
 313|  21|   0|   7|275.7639|  2.3000|   1258.1620
 136|  21|   1|   0|264.0000|  2.3290|   1366.6580
 337|  21|   1|   7|281.0246|  2.3890|   1429.2800
 143|  21|   2|   0|262.0000|  2.3980|   1393.1541
 225|  21|   2|   7|272.0000|  2.3650|   1403.7820
 999|  21|   3|   0|  0.0000|  2.3170|   1402.3790
