    LAYER  SECTOR    WIRE      GAIN
        0       0       0    0.002445
        0       0       1    0.004953
        0       0       2    0.004161
        0       0       3    0.004813
        0       0       4    0.005157
        0       0       5    0.004282
        0       0       6    0.002787
        0       0       7    0.003400
        0       0       8    0.003637
        0       0       9    0.002891
        0       0      10    0.003052
        0       1       0    0.002331
        0       1       1    0.005325
        0       1       2    0.005164
        0       1       3    0.004903
        0       1       4    0.004967
        0       1       5    0.005520
        0       1       6    0.003638
        0       1       7    0.003596
        0       1       8    0.003815
        0       1       9    0.003374
        0       1      10    0.003656
        0       2       0    0.002176
        0       2       1    0.004737
        0       2       2    0.004683
        0       2       3    0.004712
        0       2       4    0.004412
        0       2       5    0.005081
        0       2       6    0.002691
        0       2       7    0.003000
        0       2       8    0.003027
        0       2       9    0.002802
        0       2      10    0.002949
        0       3       0    0.002115
        0       3       1    0.004312
        0       3       2    0.004006
        0       3       3    0.004644
        0       3       4    0.005088
        0       3       5    0.005055
        0       3       6    0.002723
        0       3       7    0.003406
        0       3       8    0.003838
        0       3       9    0.002899
        0       3      10    0.002819
        0       4       0    0.002793
        0       4       1    0.005061
        0       4       2    0.004741
        0       4       3    0.004403
        0       4       4    0.003987
        0       4       5    0.004702
        0       4       6    0.003061
        0       4       7    0.003326
        0       4       8    0.003673
        0       4       9    0.003310
        0       4      10    0.003481
        0       5       0    0.002529
        0       5       1    0.005134
        0       5       2    0.004820
        0       5       3    0.004953
        0       5       4    0.005386
        0       5       5    0.005353
        0       5       6    0.003904
        0       5       7    0.003948
        0       5       8    0.003824
        0       5       9    0.003432
        0       5      10    0.003469
        0       6       0    0.002412
        0       6       1    0.004506
        0       6       2    0.005230
        0       6       3    0.004472
        0       6       4    0.004151
        0       6       5    0.004878
        0       6       6    0.003083
        0       6       7    0.003643
        0       6       8    0.003567
        0       6       9    0.003357
        0       6      10    0.003436
        0       7       0    0.002093
        0       7       1    0.004868
        0       7       2    0.004852
        0       7       3    0.004742
        0       7       4    0.004604
        0       7       5    0.005300
        0       7       6    0.003241
        0       7       7    0.002922
        0       7       8    0.003352
        0       7       9    0.003137
        0       7      10    0.003267
        0       8       0    0.002519
        0       8       1    0.004582
        0       8       2    0.004620
        0       8       3    0.005117
        0       8       4    0.004284
        0       8       5    0.005015
        0       8       6    0.002531
        0       8       7    0.002949
        0       8       8    0.003168
        0       8       9    0.002650
        0       8      10    0.002781
        0       9       0    0.001965
        0       9       1    0.004546
        0       9       2    0.004860
        0       9       3    0.004373
        0       9       4    0.004098
        0       9       5    0.004369
        0       9       6    0.004102
        0       9       7    0.002801
        0       9       8    0.002930
        0       9       9    0.004351
        0       9      10    0.003891
        0      10       0    0.002269
        0      10       1    0.005126
        0      10       2    0.004936
        0      10       3    0.004494
        0      10       4    0.004899
        0      10       5    0.004469
        0      10       6    0.003038
        0      10       7    0.003169
        0      10       8    0.002987
        0      10       9    0.003017
        0      10      10    0.003147
        0      11       0    0.002110
        0      11       1    0.004775
        0      11       2    0.004610
        0      11       3    0.004450
        0      11       4    0.004415
        0      11       5    0.004866
        0      11       6    0.002649
        0      11       7    0.003290
        0      11       8    0.003176
        0      11       9    0.002885
        0      11      10    0.002981
        0      12       0    0.002281
        0      12       1    0.005562
        0      12       2    0.004638
        0      12       3    0.004234
        0      12       4    0.004429
        0      12       5    0.004646
        0      12       6    0.003169
        0      12       7    0.003272
        0      12       8    0.003096
        0      12       9    0.003436
        0      12      10    0.003538
        0      13       0    0.002226
        0      13       1    0.005078
        0      13       2    0.004654
        0      13       3    0.004087
        0      13       4    0.003999
        0      13       5    0.004290
        0      13       6    0.002513
        0      13       7    0.003524
        0      13       8    0.003008
        0      13       9    0.002924
        0      13      10    0.002966
        0      14       0    0.002100
        0      14       1    0.004680
        0      14       2    0.004588
        0      14       3    0.004751
        0      14       4    0.004568
        0      14       5    0.005519
        0      14       6    0.002523
        0      14       7    0.002639
        0      14       8    0.002933
        0      14       9    0.003086
        0      14      10    0.003109
        0      15       0    0.002485
        0      15       1    0.004194
        0      15       2    0.004358
        0      15       3    0.004115
        0      15       4    0.004689
        0      15       5    0.004493
        0      15       6    0.002994
        0      15       7    0.003270
        0      15       8    0.003232
        0      15       9    0.003082
        0      15      10    0.003101
        0      16       0    0.002351
        0      16       1    0.004485
        0      16       2    0.004850
        0      16       3    0.004681
        0      16       4    0.004714
        0      16       5    0.005147
        0      16       6    0.002893
        0      16       7    0.003361
        0      16       8    0.003326
        0      16       9    0.003421
        0      16      10    0.003278
        0      17       0    0.002214
        0      17       1    0.004873
        0      17       2    0.004885
        0      17       3    0.004342
        0      17       4    0.005034
        0      17       5    0.005107
        0      17       6    0.002587
        0      17       7    0.003379
        0      17       8    0.003522
        0      17       9    0.002870
        0      17      10    0.002854
        0      18       0    0.002471
        0      18       1    0.004582
        0      18       2    0.005208
        0      18       3    0.004896
        0      18       4    0.005114
        0      18       5    0.004463
        0      18       6    0.002826
        0      18       7    0.003837
        0      18       8    0.003674
        0      18       9    0.003562
        0      18      10    0.003454
        0      19       0    0.002396
        0      19       1    0.004814
        0      19       2    0.004440
        0      19       3    0.005200
        0      19       4    0.004573
        0      19       5    0.005654
        0      19       6    0.002786
        0      19       7    0.003636
        0      19       8    0.004074
        0      19       9    0.002735
        0      19      10    0.002966
        0      20       0    0.002413
        0      20       1    0.005081
