    LAYER  SECTOR    WIRE      GAIN
        0       0       0    0.001570
        0       0       1    0.001991
        0       0       2    0.002082
        0       0       3    0.001994
        0       0       4    0.002228
        0       0       5    0.001984
        0       0       6    0.001626
        0       0       7    0.001889
        0       0       8    0.002255
        0       0       9    0.001554
        0       0      10    0.001687
        0       1       0    0.001216
        0       1       1    0.002055
        0       1       2    0.002231
        0       1       3    0.002008
        0       1       4    0.002810
        0       1       5    0.001938
        0       1       6    0.002235
        0       1       7    0.001954
        0       1       8    0.002398
        0       1       9    0.001704
        0       1      10    0.001888
        0       2       0    0.001358
        0       2       1    0.001865
        0       2       2    0.001910
        0       2       3    0.001995
        0       2       4    0.002079
        0       2       5    0.002019
        0       2       6    0.001986
        0       2       7    0.001869
        0       2       8    0.001846
        0       2       9    0.001772
        0       2      10    0.001940
        0       3       0    0.001288
        0       3       1    0.001913
        0       3       2    0.001529
        0       3       3    0.001641
        0       3       4    0.001749
        0       3       5    0.002164
        0       3       6    0.001428
        0       3       7    0.001797
        0       3       8    0.001888
        0       3       9    0.001564
        0       3      10    0.001763
        0       4       0    0.001167
        0       4       1    0.002062
        0       4       2    0.002441
        0       4       3    0.001796
        0       4       4    0.001933
        0       4       5    0.001780
        0       4       6    0.001772
        0       4       7    0.001733
        0       4       8    0.001979
        0       4       9    0.001603
        0       4      10    0.001582
        0       5       0    0.001407
        0       5       1    0.002248
        0       5       2    0.001832
        0       5       3    0.002011
        0       5       4    0.001541
        0       5       5    0.001820
        0       5       6    0.001920
        0       5       7    0.001818
        0       5       8    0.001899
        0       5       9    0.001623
        0       5      10    0.001899
        0       6       0    0.001599
        0       6       1    0.002057
        0       6       2    0.001691
        0       6       3    0.001829
        0       6       4    0.001578
        0       6       5    0.001889
        0       6       6    0.001773
        0       6       7    0.001815
        0       6       8    0.002347
        0       6       9    0.001747
        0       6      10    0.001967
        0       7       0    0.001608
        0       7       1    0.002376
        0       7       2    0.001786
        0       7       3    0.002021
        0       7       4    0.002262
        0       7       5    0.002243
        0       7       6    0.002265
        0       7       7    0.002291
        0       7       8    0.002282
        0       7       9    0.002083
        0       7      10    0.001924
        0       8       0    0.001421
        0       8       1    0.002287
        0       8       2    0.001926
        0       8       3    0.001949
        0       8       4    0.001847
        0       8       5    0.002321
        0       8       6    0.001959
        0       8       7    0.001965
        0       8       8    0.002282
        0       8       9    0.001653
        0       8      10    0.001768
        0       9       0    0.001248
        0       9       1    0.001794
        0       9       2    0.001975
        0       9       3    0.001566
        0       9       4    0.001620
        0       9       5    0.002417
        0       9       6    0.003794
        0       9       7    0.001757
        0       9       8    0.002008
        0       9       9    0.002824
        0       9      10    0.003208
        0      10       0    0.001492
        0      10       1    0.002401
        0      10       2    0.002849
        0      10       3    0.002149
        0      10       4    0.001876
        0      10       5    0.002265
        0      10       6    0.002133
        0      10       7    0.002164
        0      10       8    0.002067
        0      10       9    0.002131
        0      10      10    0.002628
        0      11       0    0.001001
        0      11       1    0.002055
        0      11       2    0.001764
        0      11       3    0.001559
        0      11       4    0.002086
        0      11       5    0.002231
        0      11       6    0.001801
        0      11       7    0.002052
        0      11       8    0.001718
        0      11       9    0.001578
        0      11      10    0.001611
        0      12       0    0.001428
        0      12       1    0.002563
        0      12       2    0.002129
        0      12       3    0.002203
        0      12       4    0.001782
        0      12       5    0.002189
        0      12       6    0.001620
        0      12       7    0.002640
        0      12       8    0.002082
        0      12       9    0.001793
        0      12      10    0.001879
        0      13       0    0.001496
        0      13       1    0.002624
        0      13       2    0.002350
        0      13       3    0.002035
        0      13       4    0.002255
        0      13       5    0.002036
        0      13       6    0.002175
        0      13       7    0.002173
        0      13       8    0.002111
        0      13       9    0.001643
        0      13      10    0.001884
        0      14       0    0.001169
        0      14       1    0.001870
        0      14       2    0.001805
        0      14       3    0.001850
        0      14       4    0.001992
        0      14       5    0.001777
        0      14       6    0.001722
        0      14       7    0.001987
        0      14       8    0.001773
        0      14       9    0.001746
        0      14      10    0.001850
        0      15       0    0.001704
        0      15       1    0.002057
        0      15       2    0.001988
        0      15       3    0.001641
        0      15       4    0.001824
        0      15       5    0.001887
        0      15       6    0.001955
        0      15       7    0.001966
        0      15       8    0.002303
        0      15       9    0.002030
        0      15      10    0.002163
        0      16       0    0.001229
        0      16       1    0.001751
        0      16       2    0.001666
        0      16       3    0.002260
        0      16       4    0.002045
        0      16       5    0.001933
        0      16       6    0.001627
        0      16       7    0.001781
        0      16       8    0.001963
        0      16       9    0.001878
        0      16      10    0.002002
        0      17       0    0.001291
        0      17       1    0.002104
        0      17       2    0.001790
        0      17       3    0.001926
        0      17       4    0.002042
        0      17       5    0.002332
        0      17       6    0.001780
        0      17       7    0.002022
        0      17       8    0.001919
        0      17       9    0.001846
        0      17      10    0.001680
        0      18       0    0.001395
        0      18       1    0.001819
        0      18       2    0.002007
        0      18       3    0.001848
        0      18       4    0.001603
        0      18       5    0.002057
        0      18       6    0.001733
        0      18       7    0.001947
        0      18       8    0.001933
        0      18       9    0.001641
        0      18      10    0.001816
        0      19       0    0.001423
        0      19       1    0.001947
        0      19       2    0.001927
        0      19       3    0.001816
        0      19       4    0.001732
        0      19       5    0.002083
        0      19       6    0.001567
        0      19       7    0.002061
        0      19       8    0.002418
        0      19       9    0.001642
        0      19      10    0.001636
        0      20       0    0.001220
        0      20       1    0.002036
        0      20       2    0.002216
        0      20       3    0.001544
        0      20       4    0.001595
        0      20       5    0.001837
        0      20       6    0.001921
        0      20       7    0.001622
        0      20       8    0.001752
        0      20       9    0.001533
        0      20      10    0.001563
        0      21       0    0.001615
        0      21       1    0.002453
        0      21       2    0.002066
        0      21       3    0.002355
        0      21       4    0.002515
        0      21       5    0.002410
        0      21       6    0.002037
        0      21       7    0.001820
        0      21       8    0.002071
        0      21       9    0.001922
        0      21      10    0.001694
        0      22       0    0.001203
        0      22       1    0.001963
        0      22       2    0.001841
        0      22       3    0.001759
        0      22       4    0.001765
        0      22       5    0.001837
        0      22       6    0.001791
        0      22       7    0.001742
        0      22       8    0.001475
        0      22       9    0.001693
        0      22      10    0.001756
        0      23       0    0.001094
        0      23       1    0.002466
        0      23       2    0.001422
        0      23       3    0.001625
        0      23       4    0.001806
        0      23       5    0.001838
        0      23       6    0.001605
        0      23       7    0.001755
        0      23       8    0.001849
        0      23       9    0.001716
        0      23      10    0.001725
        0      24       0    1.000000
        0      24       1    1.000000
        0      24       2    1.000000
        0      24       3    1.000000
        0      24       4    1.000000
        0      24       5    1.000000
        0      24       6    1.000000
        0      24       7    1.000000
        0      24       8    1.000000
        0      24       9    1.000000
        0      24      10    1.000000
        0      25       0    0.001055
        0      25       1    0.001686
        0      25       2    0.001695
        0      25       3    0.001991
        0      25       4    0.002006
        0      25       5    0.001732
        0      25       6    0.001420
        0      25       7    0.001803
        0      25       8    0.001685
        0      25       9    0.001716
        0      25      10    0.001621
        0      26       0    0.001023
        0      26       1    0.001798
        0      26       2    0.001991
        0      26       3    0.001943
        0      26       4    0.001656
        0      26       5    0.001957
        0      26       6    0.001599
        0      26       7    0.001528
        0      26       8    0.001675
        0      26       9    0.001599
        0      26      10    0.001588
        0      27       0    0.001187
        0      27       1    0.002079
        0      27       2    0.001828
        0      27       3    0.001834
        0      27       4    0.001925
