    LAYER  SECTOR    WIRE      GAIN
        0       0       0    0.004480
        0       0       1    0.004785
        0       0       2    0.004594
        0       0       3    0.005112
        0       0       4    0.005005
        0       0       5    0.004964
        0       0       6    0.005576
        0       0       7    0.005239
        0       0       8    0.004911
        0       0       9    0.004334
        0       0      10    0.003954
        0       1       0    0.004214
        0       1       1    0.005611
        0       1       2    0.004838
        0       1       3    0.004984
        0       1       4    0.004605
        0       1       5    0.005537
        0       1       6    0.005519
        0       1       7    0.004608
        0       1       8    0.004721
        0       1       9    0.005169
        0       1      10    0.004597
        0       2       0    0.004310
        0       2       1    0.005552
        0       2       2    0.005436
        0       2       3    0.006021
        0       2       4    0.006167
        0       2       5    0.005340
        0       2       6    0.005788
        0       2       7    0.005010
        0       2       8    0.004963
        0       2       9    0.005046
        0       2      10    0.005100
        0       3       0    0.004377
        0       3       1    0.004774
        0       3       2    0.004973
        0       3       3    0.005502
        0       3       4    0.004703
        0       3       5    0.005438
        0       3       6    0.005860
        0       3       7    0.005478
        0       3       8    0.005058
        0       3       9    0.004541
        0       3      10    0.004284
        0       4       0    0.004967
        0       4       1    0.004755
        0       4       2    0.004754
        0       4       3    0.004928
        0       4       4    0.004901
        0       4       5    0.005650
        0       4       6    0.005199
        0       4       7    0.005504
        0       4       8    0.005581
        0       4       9    0.004777
        0       4      10    0.004866
        0       5       0    0.004471
        0       5       1    0.005409
        0       5       2    0.004930
        0       5       3    0.005217
        0       5       4    0.005676
        0       5       5    0.006351
        0       5       6    0.005630
        0       5       7    0.005860
        0       5       8    0.005008
        0       5       9    0.004138
        0       5      10    0.003979
        0       6       0    0.004348
        0       6       1    0.004896
        0       6       2    0.005438
        0       6       3    0.004547
        0       6       4    0.004507
        0       6       5    0.005374
        0       6       6    0.005521
        0       6       7    0.004739
        0       6       8    0.004839
        0       6       9    0.004010
        0       6      10    0.004499
        0       7       0    0.004378
        0       7       1    0.004986
        0       7       2    0.004452
        0       7       3    0.005199
        0       7       4    0.005273
        0       7       5    0.005095
        0       7       6    0.005337
        0       7       7    0.005882
        0       7       8    0.005923
        0       7       9    0.004869
        0       7      10    0.004880
        0       8       0    0.004372
        0       8       1    0.004559
        0       8       2    0.004447
        0       8       3    0.005681
        0       8       4    0.005092
        0       8       5    0.004889
        0       8       6    0.005421
        0       8       7    0.004751
        0       8       8    0.005236
        0       8       9    0.004329
        0       8      10    0.005024
        0       9       0    0.004074
        0       9       1    0.005117
        0       9       2    0.004821
        0       9       3    0.004828
        0       9       4    0.004858
        0       9       5    0.005275
        0       9       6    0.008291
        0       9       7    0.004977
        0       9       8    0.005507
        0       9       9    0.006887
        0       9      10    0.005897
        0      10       0    0.004830
        0      10       1    0.005752
        0      10       2    0.005471
        0      10       3    0.005235
        0      10       4    0.005380
        0      10       5    0.004371
        0      10       6    0.005163
        0      10       7    0.005597
        0      10       8    0.005382
        0      10       9    0.003814
        0      10      10    0.004445
        0      11       0    0.004052
        0      11       1    0.005633
        0      11       2    0.004610
        0      11       3    0.005200
        0      11       4    0.004882
        0      11       5    0.005357
        0      11       6    0.006044
        0      11       7    0.005001
        0      11       8    0.004599
        0      11       9    0.004143
        0      11      10    0.004580
        0      12       0    0.004177
        0      12       1    0.004890
        0      12       2    0.005731
        0      12       3    0.005374
        0      12       4    0.004851
        0      12       5    0.004859
        0      12       6    0.005189
        0      12       7    0.005017
        0      12       8    0.005728
        0      12       9    0.004399
        0      12      10    0.004884
        0      13       0    0.003886
        0      13       1    0.005055
        0      13       2    0.005306
        0      13       3    0.005795
        0      13       4    0.004922
        0      13       5    0.005117
        0      13       6    0.005690
        0      13       7    0.005284
        0      13       8    0.004897
        0      13       9    0.005191
        0      13      10    0.005022
        0      14       0    0.004861
        0      14       1    0.005059
        0      14       2    0.005389
        0      14       3    0.004693
        0      14       4    0.005187
        0      14       5    0.005060
        0      14       6    0.005120
        0      14       7    0.005139
        0      14       8    0.006309
        0      14       9    0.005668
        0      14      10    0.005190
        0      15       0    0.006175
        0      15       1    0.005484
        0      15       2    0.005481
        0      15       3    0.004713
        0      15       4    0.005642
        0      15       5    0.006193
        0      15       6    0.005301
        0      15       7    0.006038
        0      15       8    0.005564
        0      15       9    0.005126
        0      15      10    0.004804
        0      16       0    0.004597
        0      16       1    0.004841
        0      16       2    0.004706
        0      16       3    0.004259
        0      16       4    0.004770
        0      16       5    0.005672
        0      16       6    0.005151
        0      16       7    0.004847
        0      16       8    0.004680
        0      16       9    0.004635
        0      16      10    0.005408
        0      17       0    0.004572
        0      17       1    0.005561
        0      17       2    0.005144
        0      17       3    0.004676
        0      17       4    0.004806
        0      17       5    0.005570
        0      17       6    0.004396
        0      17       7    0.005929
        0      17       8    0.005304
        0      17       9    0.004655
        0      17      10    0.004390
        0      18       0    0.004353
        0      18       1    0.004941
        0      18       2    0.005247
        0      18       3    0.005052
        0      18       4    0.004476
        0      18       5    0.005481
        0      18       6    0.004755
        0      18       7    0.005418
        0      18       8    0.005307
        0      18       9    0.004391
        0      18      10    0.004399
        0      19       0    0.004135
        0      19       1    0.005064
        0      19       2    0.004977
        0      19       3    0.005532
        0      19       4    0.005125
        0      19       5    0.005083
        0      19       6    0.004662
        0      19       7    0.004378
        0      19       8    0.004075
        0      19       9    0.005067
        0      19      10    0.004224
        0      20       0    0.004471
        0      20       1    0.005409
        0      20       2    0.005059
        0      20       3    0.004832
        0      20       4    0.005871
        0      20       5    0.005666
        0      20       6    0.004663
        0      20       7    0.005247
        0      20       8    0.005360
        0      20       9    0.004629
        0      20      10    0.005051
        0      21       0    0.004097
        0      21       1    0.005107
        0      21       2    0.005300
        0      21       3    0.005312
        0      21       4    0.004913
        0      21       5    0.005850
        0      21       6    0.005751
        0      21       7    0.005028
        0      21       8    0.004583
        0      21       9    0.004382
        0      21      10    0.004363
        0      22       0    0.004499
        0      22       1    0.005533
        0      22       2    0.004845
        0      22       3    0.005252
        0      22       4    0.004773
        0      22       5    0.005283
        0      22       6    0.005355
        0      22       7    0.004926
        0      22       8    0.004772
        0      22       9    0.004666
        0      22      10    0.004752
        0      23       0    0.004348
        0      23       1    0.004712
        0      23       2    0.004617
        0      23       3    0.004788
        0      23       4    0.004391
        0      23       5    0.005447
        0      23       6    0.005331
        0      23       7    0.004546
        0      23       8    0.004459
        0      23       9    0.004900
        0      23      10    0.004427
        0      24       0    0.003882
        0      24       1    0.004911
        0      24       2    0.005783
        0      24       3    0.004522
        0      24       4    0.005573
        0      24       5    0.005950
        0      24       6    0.004695
        0      24       7    0.004676
        0      24       8    0.004431
        0      24       9    0.004901
        0      24      10    0.004385
        0      25       0    0.003866
        0      25       1    0.005247
        0      25       2    0.005705
        0      25       3    0.005072
        0      25       4    0.005102
        0      25       5    0.005588
        0      25       6    0.005914
        0      25       7    0.004307
        0      25       8    0.004348
        0      25       9    0.004520
        0      25      10    0.004452
        0      26       0    0.004700
        0      26       1    0.004522
        0      26       2    0.004905
        0      26       3    0.005895
        0      26       4    0.004877
        0      26       5    0.005840
        0      26       6    0.005734
        0      26       7    0.005322
        0      26       8    0.004499
        0      26       9    0.005187
        0      26      10    0.004726
        0      27       0    0.003601
        0      27       1    0.005089
        0      27       2    0.004547
        0      27       3    0.004797
        0      27       4    0.005431
        0      27       5    0.005159
        0      27       6    0.005709
        0      27       7    0.004516
        0      27       8    0.004262
        0      27       9    0.004430
        0      27      10    0.004745
        0      28       0    0.004115
        0      28       1    0.005396
        0      28       2    0.004579
        0      28       3    0.005044
        0      28       4    0.004769
        0      28       5    0.004933
        0      28       6    0.005511
        0      28       7    0.005165
        0      28       8    0.003938
        0      28       9    0.005596
        0      28      10    0.004931
        0      29       0    0.004617
        0      29       1    0.005238
        0      29       2    0.005459
        0      29       3    0.005104
        0      29       4    0.005221
        0      29       5    0.004755
        0      29       6    0.005670
        0      29       7    0.004736
        0      29       8    0.005139
        0      29       9    0.004862
        0      29      10    0.005106
        0      30       0    0.004098
        0      30       1    0.006219
        0      30       2    0.005464
        0      30       3    0.005382
        0      30       4    0.005098
        0      30       5    0.006582
        0      30       6    0.005290
        0      30       7    0.005837
        0      30       8    0.004958
        0      30       9    0.004786
        0      30      10    0.004835
        0      31       0    0.005067
        0      31       1    0.005622
        0      31       2    0.005507
        0      31       3    0.004425
        0      31       4    0.005151
        0      31       5    0.005979
        0      31       6    0.005303
