  SENSE WIRE PULSER DELAYS
  BRD SL=0 EVEN SL=0  ODD SL=1 EVEN SL=1  ODD

   0      -1.1       1.0      -1.6       0.0
   1       0.9       1.1       1.4       2.1
   2      -1.6       0.4      -0.6       0.6
   3      -5.3      -4.7       0.7       1.5
   4       1.7       2.6      -0.5       1.3
   5       0.6       1.0       0.6       1.6
   6       1.3       2.4       0.2       2.1
   7      -0.5       0.3      -0.3       0.3
   8       1.1       2.6       0.9       2.5
   9      -0.9      -0.1      -0.8       0.5
  10      -4.6      -4.1      -3.9      -3.0
  11      -0.1       0.8       0.0       0.3
  12      -3.9      -3.0      -3.3      -2.8
  13       0.5       0.7       0.4       1.2
  14      -1.7      -1.6      -2.4      -2.3
  15       0.9       1.7       1.3       1.2
  16      -2.3      -1.6      -1.6      -1.2
  17      -1.1       1.5       0.0       1.3
  18      -2.3      -2.2      -1.6      -0.5
  19       0.6       2.1       0.5       1.7
  20      -0.9      -0.3       0.2       0.6
  21       0.3       2.6       0.8       2.1
  22      -0.4      -0.1       0.3       0.9
  23       0.9       2.6       1.6       3.2
  24       0.3       1.0       0.4       1.4
  25       1.6       2.5       1.3       4.0
  26      -3.2      -2.0      -3.7      -2.6
  27      -5.1      -3.4       1.0       3.3
  28      -2.7      -1.4      -3.3      -2.3
  29       0.7       2.3       1.2       2.6
  30      -1.0       0.5       1.7       3.1
  31       0.4       1.6       0.4       2.0

  DELAY LINES PULSER DELAYS
  BRD  DL NORTH  DL SOUTH  DIFFERENCE

   0      -1.2      -0.1      -1.1
   1       2.2      -0.1       2.3
   2       1.4      -0.6       2.0
   3       2.7       0.5       2.2
   4       1.9       0.7       1.2
   5       0.7       0.5       0.2
   6       0.0       0.6      -0.6
   7      -0.4       0.0      -0.4
   8      -1.4       0.3      -1.7
   9       2.0      -0.4       2.4
  10       1.5       0.2       1.3
  11       1.8      -1.0       2.8
  12       1.3      -1.2       2.5
  13       1.8      -0.9       2.7
  14       0.9      -0.7       1.6
  15       1.3      -1.0       2.3
  16       0.2      -1.0       1.2
  17       0.8      -1.8       2.6
  18      -0.1      -1.9       1.8
  19      -3.0      -2.6      -0.4
  20      -3.4      -2.4      -1.0
  21      -3.1      -2.2      -0.9
  22      -3.8      -2.7      -1.1
  23       0.1      -1.8       1.9
  24      -0.8      -1.8       1.0
  25       0.7      -1.5       2.2
  26       0.0      -1.5       1.5
  27       1.3       1.6      -0.3
  28       1.0       2.2      -1.2
  29       2.4       0.2       2.2
  30       1.3      -1.1       2.4
  31      -0.4      -0.5       0.1
