     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

        1    164    860   0   3   1   7        1    7   41    1  'IM'      1    24   -13    31    10
        2    188    988   0   3   3   7        1    8   41    1  'IM'      2    24   -13    32    10
        3    189    992   0   3   3   8        1    8   43    1  'IM'     11    23   -13    33    10
        4    213   1120   0   4   1   8        1    9   43    1  'IM'     12    23   -13    34    10
        5   3721  19840   9   5   2   0        7   24    1    1  'EM'   1636     6   -12    29     1
        6   3722  19844   9   5   2   1        7   24    3    1  'EM'   1660     6   -12    29     2
        7   3723  19848   9   5   2   2        7   24    5    1  'EM'   1684     6   -12    29     5
        8   3724  19852   9   5   2   3        7   24    7    1  'EM'   1708     6   -12    29     6
        9   3733  19904   9   5   3   0        7   24   27    1  'EM'   1613     6   -12    30     1
       10   3734  19908   9   5   3   1        7   24   29    1  'EM'   1637     6   -12    30     2
       11   3735  19912   9   5   3   2        7   24   31    1  'EM'   1685     6   -12    30     5
       12   3736  19916   9   5   3   3        7   24   33    1  'EM'   1661     6   -12    30     6
       13   4009  21376  10   3   2   0        7   12    1    1  'EM'   1408     7   -12    31     1
       14   4010  21380  10   3   2   1        7   12    3    1  'EM'   1432     7   -12    31     2
       15   4011  21384  10   3   2   2        7   12    5    1  'EM'   1456     7   -12    31     5
       16   4012  21388  10   3   2   3        7   12    7    1  'EM'   1480     7   -12    31     6
       17    236   1244   0   4   3   7        1   10   41    1  'IM'      4    24   -12    31    10
       18   4021  21440  10   3   3   0        7   12   27    1  'EM'   1385     7   -12    32     1
       19   4022  21444  10   3   3   1        7   12   29    1  'EM'   1409     7   -12    32     2
       20   4023  21448  10   3   3   2        7   12   31    1  'EM'   1457     7   -12    32     5
       21   4024  21452  10   3   3   3        7   12   33    1  'EM'   1433     7   -12    32     6
       22    212   1116   0   4   1   7        1    9   41    1  'IM'      3    24   -12    32    10
       23   4297  22912  11   1   2   0        8   24    1    1  'EM'   2092     8   -12    33     1
       24   4298  22916  11   1   2   1        8   24    3    1  'EM'   2116     8   -12    33     2
       25   4299  22920  11   1   2   2        8   24    5    1  'EM'   2140     8   -12    33     5
       26   4300  22924  11   1   2   3        8   24    7    1  'EM'   2164     8   -12    33     6
       27    152    796   0   3   0   7        1    7   15    1  'IM'     10    23   -12    33    10
       28   4309  22976  11   1   3   0        8   24   27    1  'EM'   2069     8   -12    34     1
       29   4310  22980  11   1   3   1        8   24   29    1  'EM'   2093     8   -12    34     2
       30   4311  22984  11   1   3   2        8   24   31    1  'EM'   2141     8   -12    34     5
       31   4312  22988  11   1   3   3        8   24   33    1  'EM'   2117     8   -12    34     6
       32    176    924   0   3   2   7        1    8   15    1  'IM'      9    23   -12    34    10
       33   4585  24448  11   7   2   0        8   12    1    1  'EM'   1864     9   -12    35     1
