  -31.0000 1.011  -30.9792 1.018  -30.9583 1.008  -30.9375 1.003  -30.8750 1.017
  -30.8542 1.010  -30.8333 1.003  -30.7917 1.020  -30.7500 1.005  -30.6875 1.014
  -30.6458 1.003  -30.6042 1.026  -30.5833 1.019  -30.5625 1.009  -30.5417 1.002
  -30.5000 0.995  -30.3542 1.010  -30.3333 1.026  -30.2917 1.013  -30.2500 1.006
  -30.2292 1.015  -30.2083 1.027  -30.1875 1.017  -30.1667 1.010  -30.1250 1.002
  -30.0208 0.996  -29.7500 0.990  -29.7083 1.000  -29.6875 0.989  -29.6667 0.977
  -29.6458 0.971  -29.6250 0.965  -29.6042 0.960  -29.5417 0.954  -29.4167 0.961
  -29.3958 0.969  -29.3750 0.961  -29.3333 0.954  -29.2500 0.961  -29.1875 0.970
  -29.1667 1.003  -29.1458 1.022  -29.1042 1.005  -29.0625 1.019  -29.0417 1.026
  -29.0208 1.014  -29.0000 1.003  -28.9583 1.016  -28.9375 1.009  -28.9167 1.001
  -28.8750 0.992  -28.8542 1.006  -28.8333 1.017  -28.8125 1.009  -28.7917 1.000
  -28.7500 1.020  -28.7083 1.007  -28.6667 1.022  -28.6250 1.008  -28.6042 1.017
  -28.5833 1.031  -28.5625 1.024  -28.5417 1.000  -28.5208 0.983  -28.5000 0.975
  -28.4792 0.968  -28.4167 0.962  -28.3542 0.973  -28.3333 0.999  -28.3125 0.987
  -28.2917 0.973  -28.2708 0.968  -28.2292 0.990  -28.2083 0.976  -28.1875 0.969
  -28.1667 0.963  -28.1250 0.957  -28.0208 0.976  -28.0000 0.984  -27.9792 0.971
  -27.9583 0.965  -27.8958 0.958  -27.8542 0.968  -27.8125 0.975  -27.7917 0.970
  -27.7500 0.965  -27.6458 0.974  -27.6250 0.980  -27.6042 0.974  -27.5833 0.990
  -27.5417 0.976  -27.5208 0.969  -27.4583 0.962  -27.3333 0.971  -27.3125 0.988
  -27.2917 0.979  -27.2708 0.971  -27.2292 0.965  -27.0833 0.960  -27.0208 0.979
  -26.9792 0.970  -26.9375 0.964  -26.8750 0.970  -26.8542 0.981  -26.8333 0.972
  -26.8125 0.964  -26.7292 0.973  -26.6667 0.966  -26.6042 0.986  -26.5625 0.973
  -26.5208 0.964  -26.3542 0.959  -26.3125 0.979  -26.2917 0.986  -26.2708 0.975
  -26.2500 0.969  -26.2292 0.964  -26.2083 0.971  -26.1458 0.965  -26.0208 0.978
